#MCS	Adhesion_energy
164200	514182.0
164300	513717.0
164400	515625.0
164500	515280.0
164600	514315.5
164700	516198.0
164800	516910.5
164900	518641.5
165000	519184.5
165100	517480.5
165200	518842.5
165300	517819.5
165400	518134.5
165500	520017.0
165600	519879.0
165700	520753.5
165800	521910.0
165900	521701.5
166000	522282.0
166100	523651.5
166200	521668.5
166300	524037.0
166400	523264.5
166500	523341.0
166600	523281.0
166700	524457.0
166800	524853.0
166900	526009.5
167000	526635.0
167100	525750.0
167200	527295.0
167300	528124.5
167400	528349.5
167500	529600.5
167600	528675.0
167700	528550.5
167800	530802.0
167900	532041.0
168000	530947.5
168100	528654.0
168200	530236.5
168300	531183.0
168400	532456.5
168500	533748.0
168600	532840.5
168700	533443.5
168800	534667.5
168900	533824.5
169000	535207.5
169100	535683.0
169200	535123.5
169300	536379.0
169400	535872.0
169500	536917.5
169600	539646.0
169700	540180.0
169800	537112.5
169900	540261.0
170000	542089.5
170100	540945.0
170200	540543.0
170300	542992.5
170400	543931.5
170500	543141.0
170600	542389.5
170700	543376.5
170800	544576.5
170900	545239.5
171000	544455.0
171100	544401.0
171200	547059.0
171300	546291.0
171400	546045.0
171500	547383.0
171600	547812.0
171700	547302.0
171800	549591.0
171900	548821.5
172000	550425.0
172100	552357.0
172200	551473.5
172300	552441.0
172400	552717.0
172500	552300.0
172600	551809.5
172700	553182.0
172800	554817.0
172900	554563.5
173000	556216.5
173100	556281.0
173200	555792.0
173300	556602.0
173400	557913.0
173500	559390.5
173600	558681.0
173700	558732.0
